author	keywords
associationdesarchivistesfrancais	fait***référence***article***légitime***paiement***redevances***kyrielle***motifs***coût***mise***disposition***traitement***collecte***production***plus***rémunération***investissements***cela***risque***placer***facto***hors***domaine***commun***bonne***partie***conservent***services***archives***publics***bibliothèques***patrimoniales
stefanefermigier	amendement***cosmo***beaucoup***plus***clair***http***1pkgn6i
marlenedelhaye	dans***bonne***direction***mais***pourquoi***aligner***durées***embargo***savoir***mois***pour***sciences***dures***mois***pour
jacquesbittoun	pour***accès***libre***données***recherche
comitedethiqueducnrscomets	cohérence***avec***avis***enjeux***éthiques***partage***données***scientifiques***publié***2015***comets***unanime***pour***reprendre***commentaires***dist***cnrs***critiques***elle***porte***article***droits***exploitation***sous***forme***numérique***écrit***scientifique***issu***activité***recherche***financée***moins***pour***moitié***fonds***publics***sont***cessibles***titre***exclusif***éditeur***cette***exclusivité***contraire***exigence***maitrise***données***scientifiques***résultats***associés***concept***bien***commun***développé***grâce***financements***publics***lorsque***écrit***scientifique***publié***dans***périodique***auteur***même***cession***exclusive***éditeur***dispose***droit***mettre***disposition***gratuitement***sous***forme***numérique***dernière***version***acceptée***manuscrit***éditeur***exclusion***travail***mise***forme***incombe***dernier***terme***délai***douze***mois***ceci***recul***rapport***pratique***actuelle***consiste***pouvoir***disposer***librement***contenu***version***acceptée***manuscrit***peut***alors***être***mise***open***access***seule***forme***finale***devant***être***réservée***éditeur***disposer***embargo***durée***variable***suivant***éditeurs***disciplines***version***finale***mise***forme***éditeur***cette***mise***disposition***peut***donner***lieu***aucune***exploitation***commerciale***contenu***écrit***scientifique***bien***entendu***source***potentielle***innovations***dont***exploitation***commerciale***peut***être***considérable***valorisation***avancées***scientifiques***conséquent***écrits***décrivent***missions***fondamentales***scientifiques***dans***cadre***organismes***recherche***universités***interdire***exploitation***commerciale***article***scientifique***auteurs***leurs***employeurs***donc***contraire***missions***fondamentales***organismes***écoles***universités***comité***éthique***cnrs***comets***pris***connaissance***projet***numérique***gouvernement***ainsi***communiqué***conseil***scientifique***cnrs***affirme***principe***essentiel***libre***accès***résultats***données***recherche***effectuée***fonds***publics***associe***inquiétudes***formule***dans***actuelle***situation***complexe***édition***scientifique***pleine***mutation
pierrecourtieu	cette***proposition***clairement***rédigée***pour***éditeurs***scientifiques***explication***pour***personnes***ignorent***comment***passe***aujourd***pratique***suivante***éditeurs***récupèrent***gratuitement***écrits***chercheurs***diffusent***contre***paiement***général***très***cher***ceci***sans***rémunération***auteurs***leurs***institutions***leur***employeur***état***exemple***bout***certain***délai***auteurs***peuvent***mettre***leurs***articles***donc***résumé***comparaison***avec***archives***ouvertes***disponibilité***immédiate***éditeurs***sont***aujourd***entrave***diffusion***publications***scientifiques***paradoxal***mais***éditeurs***plus***monopole***diffusion***publication***maintenant***texte***état***pérennise***cette***situation***inacceptable
peaucelle	superchaton***cession***exclusive***inévitable***regardez***exemple***règles***adoptées***elsevier***https***elsevier***about***company***information***policies***copyright***government***20employees***pour***agents***publics***session***exclusive***interdit***dans***leur***droit***france***honorerait***être***traine***liberté***diffusion***connaissances***notion***même***cession***exclusive***éditeur***inscrite***dans***problématique***pour***éditeurs***aient***rémunération***pour***leur***travail***mise***forme***diffusion***services***afférents***mais***pour***aient***droit***posséder***façon***exclusive***résultats***recherche***plus***réalisés***service***public***recherche***doit***plus***avoir***période***embargo***restriction***accès***données***recherche***fouille***données***pourquoi***sujets***sont***omis***texte***recul***pratiques***existantes***après***avoir***freiné***recherche***avec***coupes***budgétaires***rajoute***avec***freins***circulation***connaissances
thomasheams	arguments***durée***excessive***embargo***voire***contre***existencesont***pertinents***point***chercheurs***mais***attention***faire***cette***réserve***point***refus***article***consisterait***servir***fine***cause***ceux***opposent***frontalement***notamment***pour***préserver***leur***intérêt***économique***important***inscrire***nouveau***principe***dans***donc***voter***pour***article***améliore***situation***existante***point***chercheurs***quitte***être***mobilisé***aussi***suppression***embargo***présent***ultérieurement
nicolas	faudrait***prévoir***disposition***permet***limiter***accès***données***lorsque***dernières***sont***susceptibles***aboutir***brevet***invention***dans***tout***accès***données***sera***public***après***publication***brevet
marcelpoualion	univers***digital***complètement***submerge***publications***anglais***absolument***impératif***recherche***française***français***soit***mise***disposition***pour***combattre***domination***occulte***complètement***savoir***langue***française***faut***auteurs***chercheurs***français***libèrent***cette***attitude***protectrice***vouloir***garder***leurs***connaissance***secrètes***afin***espèrent***mieux***commercialiser***mieux***tirer***parti***rester***secret***dans***notre***monde***digital***garantie***oubli***comme***épicier***coin***oranges***étal***vous***achèterez
davidvantyghem	surtout***éviter***nouveau***drame***http***takepart***internets***cmpid***twtr
