userA	userB	score
laurentlyaudet	favreguillaume	4
fredericchapoton	pascaltobaly	4
bernieseek	elodieponcet	3
valeryxavierlentz	alexiskauffmann	3
colettecadiou	annecanteaut	3
leinardifrancesca	giselemaxit	3
marieevegeiger	jeremiebettinelli	5
thomaslamarche	noelthiboud	4
gesbert	antoineamarilli	7
noelthiboud	buloismichael	4
olivierbuffet	jeremiebettinelli	4
favreau	christineleininger	3
louisgesbert	vincentreverdy	9
leoducas	marieannepaveau	3
sylvainpogodalla	jozefinasadowska	3
marieevegeiger	sbauin	7
jeannevarasco	eliemichel	3
stephaniedordcrousle	carolinelandry	3
laurent	fizcus	4
martinecourbincoulaud	nicolasrs	3
baratault	stephaniedordcrousle	4
josettelapeyre	moniqueteillaud	3
guillaumecabanac	anicetrohee	5
simona	cecileclavaud	5
hugol	laurentbercot1	5
elodieponcet	virgileandreani	6
martinecourbincoulaud	hurtersavie	3
manuelclergue	fabienandre	3
allia	bernardloic	4
ernoult	fouillet	3
damienrobert	salvetatfrancoise	4
chantalbarutau	laurentromary	3
stephanebortzmeyer	pierre1	4
inradistodilehologne	stephanepouyllau	5
odilecontat	nolwennmaudet	5
adrienfabre	gregorycolcanap	3
vincentdanjean	eliemichel	5
hugol	davidbaelde	3
philippeschnoebelen	sbauin	4
jeanlucdeochandiano	marlenedelhaye	3
pierrenaegelen	annebergez	5
antoinelejay	thomasletendre	3
laurentlhuillier	lafaitjacques	3
jeremienuel	marieannepaveau	3
danielbourrion	sbauin	6
delphinedebarre	antoineamarilli	4
merlet	nicolasdumoulin	3
cavetdominique	ramdanikarim	4
odilehennaut	jeremiebettinelli	3
oliviercleynen	aicardistephane	3
philippedeso	chantalbarutau	3
franckinfodocbib1	deputeeisabelleattard	5
suzannemallet	juliengilet1	3
pocinho	arnalcedric	4
marieannepaveau	ralphmatthes	3
pierre1	romainboistel	5
charara	geraldineniateldacos	4
thierychanier	fredericchapoton	4
mihaelasighireanu	dissemin	4
claudeniatel	vincentreverdy	8
christophebrocquet	florencebouillon	3
sr	sophiepochic	3
nolwennmaudet	geoffreyharaux	3
emiliebrunet	frederichelein	6
hankahensens	giselemaxit	9
annickvalibouze	sebastienbenzekry	3
bibliothequeuniversitairedeslanguesetcivilisations	moniqueteillaud	3
charara	alainberetzpresidentdeluniversitedestrasbourg	3
baratault	yannbonnet	4
hcyinguyenvan	celinefouga	4
olivierchapuis	alainberetzpresidentdeluniversitedestrasbourg	5
jeanlucdeochandiano	fouillet	3
catusciapalamidessi	leinardifrancesca	3
emmanuellecorne	miklarzclement	6
dominiqueroux	chantalviala	3
bernieseek	fizcus	7
nicolasbraudsantoni	romainboistel	5
mathieuperona	geraldineniateldacos	4
marieannepaveau	sbauin	7
marieferrazzini	sylvaincrovisier1	3
florencebouillon	francoisparreau	3
sarraderafaele	guillainpotron	4
hcyinguyenvan	jeanchristophebach	4
antonindelpeuch	virgileandreani	6
thomasletendre	chekib1	3
franckinfodocbib1	maicf	3
lacourclaire	davidbenoist	3
celinefouga	anneclairelepicard	4
sbauin	geoffreyharaux	4
inptoulouseinstitutnationalpolytechniquedetoulouse	juliengilet1	4
julianbh	duflotjeanluc	8
julienbect	maxenceguesdon	4
colettecadiou	jeanpierregesbert	3
charara	emiliebrunet	3
teodorknapik	chantalbarutau	3
caroleb	samsond	4
frederichelein	benoitpier1	6
francoisrevol	duflotjeanluc	4
philippedeso	francoislermigeaux	7
jeremiedetrey	odilecontat	4
francisandre	nathalieduchange	6
fredericmandon	arnalcedric	3
cavetdominique	romainbazile	4
editionsgallimard	jaimelire	32
louisjachiet	henrigaly	5
stephanemagnier	raclet	4
valentinplichon	catherinelandry	3
damienrobert	davidmonniaux	8
fizcus	emmanuelhadoux	3
celinefouga	romainboistel	5
charara	chevallierchantepie	3
meheut	cenacpeggy	3
celinefouga	marcmezzarobba	3
geraldineniateldacos	pocinho	4
sr	antoinelejay	4
stornecatherine	danielpouyllau	4
fabricemottez	inptoulouseinstitutnationalpolytechniquedetoulouse	3
guillaumecabanac	celialentretien	3
guycobolet1	ralphmatthes	3
jeanbaptistemouret	celialentretien	4
stephaniedordcrousle	manuelclergue	3
stephanepouyllau	celialentretien	3
doctorant	davidbenoist	5
davidmonniaux	nicolaspetitdemange	4
laurapallez	fabienmalbet	3
fredericmandon	pascalearaujo	3
sandrinemalotaux	valeryxavierlentz	4
laurent	claudeniatel	4
franckinfodocbib1	frederichelein	3
agnesraymonddenise	fabienlabarthe	3
abharmach	fabienandre	4
gabrielscherer	olivierjacquot	4
alainmarois	sonneville	4
marcjeanmougin	benoitrkloeckner	6
alaincimino	chekib1	3
virgileandreani	gwendalb	4
odilecontat	louiseberaudlefranc	3
gesbert	annecanteaut	6
chantalbarutau	marielaurebretin	3
favreau	virgileandreani	3
lionelrieg	virgileandreani	4
olivierchapuis	stephaniegroudiev	3
antoninchambolle	pierre1	4
celinefouga	magariel	5
violainev	cedricolivierturrin	3
gabrielllang	nolwennmaudet	4
emmanuellecorne	courtoischantal	4
colettecadiou	odilecontat	3
meheut	sylvainschmitz	4
nikolaykovachev	hugol	4
jacquesmillet	francoisxaviermas	3
bibliothequeuniversitairedeslanguesetcivilisations	williamtriggs	3
marcjeanmougin	pascaltobaly	5
monnet	dissemin	3
nicolasbraudsantoni	anthonymasure	4
jeanbaptistemouret	dominiqueroux	3
stornecatherine	jeankempf	3
jeanpierregesbert	davidbenoist	8
isabellegouat	davidbenoist	7
mariehelenedacos	patricebellot1	7
patricebellot1	jeremiebettinelli	4
annebergez	cypriengay	3
emmanuelthome	laurentbercot1	4
