userA	userB	score
inradistodilehologne	victorkalt1	3
xavierleroy	guillaumequeruel	3
jeanfrancois	elodieponcet	3
pierrickgaudry	catusciapalamidessi	2
noelthiboud	geoffreyharaux	4
heraultfrederic	odilehennaut	1
heraultfrederic	valentinplichon	2
hugogimbert	jeanpierregesbert	4
inradistodilehologne	alexanderdoria	1
davidbaelde	audreysteinberger	2
benjaminbourdon	celinefouga	3
antonindelpeuch	pascaltobaly	3
griddock	salvetatfrancoise	1
pierrebauvin	benoitrkloeckner	2
aicardistephane	legendre	2
benjaminbourdon	francoisducrocq	5
aeris	samuelhornus	2
mathurindorel	pn	3
brunodurand	albrechtzimmermann	1
danielpouyllau	rmathis	5
sbauin	matthieumoy	4
maicf	pascalweil	2
barbarameazzi	albertcohen	2
juko	huguessamyn	3
sarraderafaele	julienbect	3
claudeniederlender	giselemaxit	4
lerouergue1	ludivineabd	1
prescillialagarrigue	jeremieroche	1
didierbailhous	pierremounier	1
duflotjeanluc	chantalviala	3
jeanlouisbougeret	huguessamyn	2
jeanmarielebechec	ol	2
odilecontat	brunoringeval	1
celinevautrin	gaelleriverieux	1
nicolasdandrimont	remiwatrigant	3
brundominique1	jeanmarielebechec	3
sevankazandjian	clementtisserant	1
mauran	romainboistel	5
annickvalibouze	gabrielllang	3
brundominique1	chantalviala	1
leoducas	mihaelasighireanu	3
sonneville	olivierlegall1	4
manuelclergue	yadlajoie	2
alainmarois	ralphmatthes	5
gchartron	benoitrkloeckner	1
pierre1	celinesmith	7
cecileclavaud	celinefouga	3
cedrictemple	christophebrocquet	3
chauvinbrigitte	fortyannick	2
alaincimino	nikolaykovachev	2
olivierjacquot	frederiqueflamerie	5
gesbert	souzani	3
louiseberaudlefranc	thomaslamarche	2
fredericdanielluclehobey	alexandrenolin	2
pierrickkoch	olivierlegall1	4
annepoupon	bernardloic	1
claudeniederlender	guycobolet1	3
adrienkrahenbuhl	annebergez	2
leblancannie	juliejanody	4
miklarzclement	laurentromary	4
hubertguillaud	louiseberaudlefranc	1
julienbect	brundominique1	2
hubertguillaud	2	3
thierryfournier	pn	1
antoineamarilli	gabrielllang	2
stornecatherine	favreau	1
epristassociationdesresponsablesistdesorganismesderecherchefrancais	ralphmatthes	4
allia	fredericherbreteau	6
anicetrohee	claudeloverdo	4
patricetorguet	apincetre	3
francisandre	aubry1	2
christinekosmopoulos	claudeniederlender	2
bossuet	sylvainribault	1
marcmezzarobba	yadlajoie	4
pablorauzy	mathieusaby	3
patrickmassot	emmanuelthome	4
epristassociationdesresponsablesistdesorganismesderecherchefrancais	godefroybeauvallet	1
jeankempf	buloismichael	2
darquy1	giselemaxit	7
sylvainpogodalla	carolinelandry	1
louisgesbert	yadlajoie	6
darquy1	emmanuellehelly	3
fredericmandon	bernardloic	2
laurentlyaudet	claudeniederlender	3
cypriengay	favreguillaume	2
chantalviala	remiwatrigant	4
samuelhornus	ol	1
gchartron	lucaudrain	1
pierrenaegelen	florencebouillon	2
bernardludwig	jouannigot	2
hubertguillaud	celinesmith	3
annebergez	olivierlegall1	7
bernieseek	favreguillaume	7
dissemin	jeanmallet	3
durandaline	raclet	5
nicolaspetitdemange	jeanmallet	2
francoislermigeaux	eliemichel	4
pierrebauvin	ratsimandravasuzanne	1
thomasletendre	mathurindorel	1
sylvainpogodalla	clementtisserant	1
cedrictemple	franckinfodocbib1	4
heraultfrederic	gittonvincent	1
alainmarois	godefroybeauvallet	1
jeannevarasco	matthieumoy	1
vivienripoll	odilehennaut	3
allia	elodieponcet	7
antoinelejay	guycobolet1	2
lionelrieg	francoisducrocq	4
cecileclavaud	bibliothequeuniversitairedeslanguesetcivilisations	1
mathieuperona	aicardistephane	2
cbernault	elodieponcet	2
elianedaphy	damienrobert	1
arramyleroux	ralphmatthes	2
cedricolivierturrin	adelineregeuniversitedestrasbourg	3
roux3	fredericherbreteau	5
philippeschnoebelen	gabrielscherer	3
vincentleclere	clementtisserant	2
arnalcedric	pierrev	2
fouillet	maccall	1
pierrickgaudry	magariel	3
guillainpotron	fabienduprat	1
cedricolivierturrin	griddock	1
marieannepaveau	aurelienberra	7
cypriengay	imr	2
pascalfouche	laurentberardquelin	4
sbauin	jeanmarielebechec	7
virgileandreani	sarraderafaele	4
vincentleclere	jeanmarielebechec	1
laurent	gregallaire	6
laurentlhuillier	veroniquecohoner	2
aurelienberra	ludivineabd	8
annickvalibouze	jonathancrequer	1
baratault	fabienlabarthe	4
christinekosmopoulos	hadrienvroylandt	2
silvanodalzilio	louisjachiet	4
hurtersavie	christophepavlides	4
thierryfournier	agnesletouzey	3
gittonvincent	gesbert	1
carolinelandry	gregallaire	2
leoducas	clementtisserant	2
dsa	sebastienbenzekry	1
alexandrenolin	geoffreyharaux	1
lp	ol	1
leboecla	oliviercleynen	3
